VENDOR,ITEMNO,ITEMNAME,PO,STS,DUE,QTY,RCV PLACE,PRICE,LOT,RCV_DATE,RCV,REMAIN,ISSUE,DOCNO,VENDOR CONFIRM DUE DATE
TRT,11010-0767,FILTER-ASSY-AIR          ,H46464,S,1/7/2019,5,RSP,176.08,RY26803,,0,5,11/26/2018,1811-H1067,FG00953-104-00
TRT,11011-0159,CASE-AIR FILTER          ,H46577,S,1/9/2019,10,RSP,318.49,RY26805,,0,10,11/26/2018,1811-H1099,FG01829-104-00
TRT,11013-0020,ELEMENT-AIR FILTER       ,H48283,S,1/19/2019,1000,RSP,22.5,RY26813,,0,1000,11/26/2018,1811-H1403,FG00564-104-00
TRT,11013-0020,ELEMENT-AIR FILTER       ,H47860,S,1/17/2019,985,RSP,22.5,RY26811,,0,985,11/26/2018,1811-H1333,FG00564-104-00
TRT,11013-0030,ELEMENT-AIR FILTER       ,H46578,S,1/9/2019,115,RSP,69.78,RY26805,,0,115,11/26/2018,1811-H1099,FG00566-104-00
TRT,11013-0713,ELEMENT-AIR FILTER       ,H46579,S,1/9/2019,735,RSP,53.58,RY26805,,0,735,11/26/2018,1811-H1099,FG00820-104-00
TRT,11013-1268,ELEMENT-AIR FILTER       ,H46580,S,1/9/2019,145,RSP,26,RY26805,,0,145,11/26/2018,1811-H1099,FG00228-104-00
TRT,11013-1293,ELEMENT-AIR FILTER       ,H46581,S,1/9/2019,15,RSP,17.86,RY26805,,0,15,11/26/2018,1811-H1099,FG00229-104-00
TRT,11013-1294,ELEMENT-AIR FILTER       ,H46582,S,1/9/2019,320,RSP,14.6,RY26805,,0,320,11/26/2018,1811-H1099,FG00569-104-00
TRT,11013-1303,ELEMENT-AIR FILTER       ,H46583,S,1/9/2019,190,RSP,40,RY26805,,0,190,11/26/2018,1811-H1099,FG00570-104-00
TRT,11029-0011,ELEMENT-ASSY-AIR FILTER  ,H46584,S,1/9/2019,280,RSP,161.51,RY26805,,0,280,11/26/2018,1811-H1099,FG00513-104-00
TRT,11065-0210    6Z,CAP                      ,H46761,S,1/10/2019,10,RSP,22.89,RY26806,,0,10,11/26/2018,1811-H1133,FG00748-104-00
TRT,11065-1133,CAP                      ,H46762,S,1/10/2019,20,RSP,12.4,RY26806,,0,20,11/26/2018,1811-H1133,FG00571-104-00
TRT,13280-0226,"HOLDER,ELEMENT           ",H46906,S,1/11/2019,30,RSP,5.68,RY26807,,0,30,11/26/2018,1811-H1162,FG00662-104-00
TRT,14073-0733,DUCT                     ,H47149,S,1/14/2019,5,RSP,28.36,RY26808,,0,5,11/26/2018,1811-H1213,FG00944-104-00
TRT,14073-1725,DUCT                     ,H47150,S,1/14/2019,5,RSP,30,RY26808,,0,5,11/26/2018,1811-H1213,FG00582-104-00
TRT,14073-1734,DUCT                     ,H47151,S,1/14/2019,5,RSP,33,RY26808,,0,5,11/26/2018,1811-H1213,FG00583-104-00
TRT,14073-1820,DUCT                     ,H47152,S,1/14/2019,10,RSP,27.25,RY26808,,0,10,11/26/2018,1811-H1213,FG00585-104-00
TRT,14073-1843,DUCT-CARBURETOR          ,H47153,S,1/14/2019,5,RSP,45.87,RY26808,,0,5,11/26/2018,1811-H1213,FG00586-104-00
TRT,14073-1854,DUCT                     ,H47154,S,1/14/2019,20,RSP,28.52,RY26808,,0,20,11/26/2018,1811-H1213,FG00587-104-00
TRT,92093-1560,SEAL                     ,H48199,S,1/18/2019,20,RSP,5.75,RY26812,,0,20,11/26/2018,1811-H1383,FG00599-104-00
