VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,11013-1152,ELEMENT-AIR FILTER,H39906,12/6/2018,RSP,41.5,150,0,0,00/00/0000,RX27807,10/27/2018,S,1810-H1251,0.02,08:00-09:00,NON FREEZONE
TRT,14073-1854,DUCT,H39907,12/6/2018,RSP,28.52,105,0,0,00/00/0000,RX27807,10/27/2018,S,1810-H1251,0,08:00-09:00,NON FREEZONE
TRT,11065-0210    6Z,CAP,H40123,12/7/2018,RSP,22.89,10,0,0,00/00/0000,RX27808,10/27/2018,S,1810-H1302,0,08:00-09:00,NON FREEZONE
TRT,11065-0749,CAP,H40124,12/7/2018,RSP,7,10,0,0,00/00/0000,RX27808,10/27/2018,S,1810-H1302,0.08,08:00-09:00,NON FREEZONE
TRT,11010-0767,FILTER-ASSY-AIR,H40256,12/8/2018,RSP,176.08,5,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0.842,08:00-09:00,NON FREEZONE
TRT,11013-0713,ELEMENT-AIR FILTER,H40257,12/8/2018,RSP,53.58,200,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0.15,08:00-09:00,NON FREEZONE
TRT,11013-0796,ELEMENT-AIR FILTER,H40258,12/8/2018,RSP,0,1000,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0,08:00-09:00,NON FREEZONE
TRT,11013-1268,ELEMENT-AIR FILTER,H40259,12/8/2018,RSP,26,80,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0,08:00-09:00,NON FREEZONE
TRT,11013-1288,ELEMENT-AIR-FILTER,H40260,12/8/2018,RSP,24.5,10,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0.326,08:00-09:00,NON FREEZONE
TRT,11013-1293,ELEMENT-AIR FILTER,H40261,12/8/2018,RSP,17.86,30,0,0,00/00/0000,RX27809,10/27/2018,S,1810-H1332,0,08:00-09:00,NON FREEZONE
