VENDOR,P-NO,P-NAME,PO-NO,DUE,PLACE,PRICE,QTY,RCV,REMAIN,LAST_RCV,EX-LOT,ISSUE,STS,DOC_NO,UNIT WEIGHT,DUE-TIME,PRIVILEDGE
TRT,11010-0853,FILTER-ASSY-AIR,E87896,12/17/2018,RKD,204.52,100,0,0,00/00/0000,P9LU103,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88051,12/18/2018,RKD,204.52,100,0,0,00/00/0000,P9LU104,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88206,12/18/2018,RKD,204.52,100,0,0,00/00/0000,P9LU105,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88361,12/19/2018,RKD,204.52,100,0,0,00/00/0000,P9LU106,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88516,12/20/2018,RKD,204.52,100,0,0,00/00/0000,P9LU107,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88671,12/20/2018,RKD,204.52,100,0,0,00/00/0000,P9LU108,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88826,12/21/2018,RKD,204.52,100,0,0,00/00/0000,P9LU109,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E88981,12/21/2018,RKD,204.52,100,0,0,00/00/0000,P9LU110,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89136,12/22/2018,RKD,204.52,100,0,0,00/00/0000,P9LU111,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89291,12/22/2018,RKD,204.52,100,0,0,00/00/0000,P9LU112,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89446,12/24/2018,RKD,204.52,100,0,0,00/00/0000,P9LU113,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89601,12/24/2018,RKD,204.52,100,0,0,00/00/0000,P9LU114,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89756,12/25/2018,RKD,204.52,100,0,0,00/00/0000,P9LU115,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E89914,12/17/2018,RKD,204.52,100,0,0,00/00/0000,P9LV134,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90075,12/17/2018,RKD,204.52,100,0,0,00/00/0000,P9LV135,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90235,12/18/2018,RKD,204.52,100,0,0,00/00/0000,P9LV136,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90395,12/18/2018,RKD,204.52,100,0,0,00/00/0000,P9LV137,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90555,12/19/2018,RKD,204.52,100,0,0,00/00/0000,P9LV138,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90715,12/19/2018,RKD,204.52,100,0,0,00/00/0000,P9LV139,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E90875,12/20/2018,RKD,204.52,100,0,0,00/00/0000,P9LV140,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91035,12/20/2018,RKD,204.52,100,0,0,00/00/0000,P9LV141,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91195,12/21/2018,RKD,204.52,100,0,0,00/00/0000,P9LV142,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91355,12/21/2018,RKD,204.52,100,0,0,00/00/0000,P9LV143,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91515,12/22/2018,RKD,204.52,100,0,0,00/00/0000,P9LV144,11/29/2018,K,1811-E5284,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91675,12/24/2018,RKD,204.52,100,0,0,00/00/0000,P9LV145,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91835,12/24/2018,RKD,204.52,100,0,0,00/00/0000,P9LV146,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E91995,12/25/2018,RKD,204.52,100,0,0,00/00/0000,P9LV147,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
TRT,11010-0853,FILTER-ASSY-AIR,E92155,12/25/2018,RKD,204.52,100,0,0,00/00/0000,P9LV148,11/29/2018,K,1811-E5285,0.853,08:00-09:00,FREEZONE
